"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Goblet cell",59,105,164,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.905679516384227,0.145,0.667043939714097,"0.698",0.990948793022982,-0.029,0.98398148386222,0.072
"early enterocyte",62,99,161,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",4,0.884115971371506,0.262,0.102709395211653,"1.274",0.941014660472415,0.195,0.602376088581942,0.884
"IL2RG+ enterocyte (M cell)",100,55,155,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",4,0.0942409570392735,1.137,0.00296837199465103,"**2.08**",0.822867357922316,-0.392,0.436301719996323,-0.952
"S4 fibroblasts",66,55,121,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.874775078841471,0.431,0.10178481381702,"1.946",0.698088369342695,0.963,0.931749913933053,0.487
"crypt",64,49,113,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.777064915123392,0.289,0.277989987234888,"0.956",0.151573854777453,0.91,0.788146836647024,-0.544
"enterocyte",60,25,85,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",3,0.943774981570582,0.137,0.266732366870697,"0.954",0.878935773841393,0.331,0.586941261255676,-1.183
"TA",32,43,75,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.787122784448182,0.45,0.910219190962901,"0.387",0.981881518629631,-0.142,0.945987320492597,0.508
"S1 fibroblasts",40,31,71,"01_TI_PED_ActiveCD_vs_Control","Control",8,"ActiveCD",5,0.522925428853562,0.575,0.331648631529,"1.394",0.837083657040485,0.55,0.984258202622715,-0.152
"Activated T",35,7,42,"01_TI_PED_ActiveCD_vs_Control","Control",7,"ActiveCD",5,0.988512018967516,-0.06,0.963898027306405,"-0.384",NA,NA,0.727808479257512,-0.585
"Cycling B cell",8,10,18,"01_TI_PED_ActiveCD_vs_Control","Control",6,"ActiveCD",4,0.893667955909738,0.34,0.507830109389569,"1.468",0.993048047179643,0.168,0.378648079962852,-0.915
"FCER2 B cell",9,1,10,"01_TI_PED_ActiveCD_vs_Control","Control",5,"ActiveCD",4,0.99979251631291,0.081,0.000282803386934254,"**2.549**",0.99979251631291,0.423,0.99979251631291,-0.3
