"cell_type","Active_CD_vs_Control_up","Active_CD_vs_Control_down","Inactive_CD_vs_Control_up","Inactive_CD_vs_Control_down","Total_samples_available","Control_samples","Active_CD_samples","Inactive_CD_samples"
"B",9,12,0,0,58,10,24,24
"BEST4/OTOP2",15,1,0,0,61,17,13,31
"Cycling TA",634,538,8,4,73,17,24,32
"Early Enterocyte",719,812,18,5,73,17,24,32
"Early Goblet",473,279,1,1,73,17,24,32
"EEC",24,39,0,0,67,17,21,29
"Goblet Proliferating",136,120,0,0,72,16,24,32
"Intermediate Enterocyte",508,609,25,3,73,17,24,32
"LND",231,5204,8,9,59,9,24,26
"Mast",1,0,0,0,39,5,15,19
"Mature Enterocyte",421,392,18,1,71,17,22,32
"Mature Goblet",268,518,7,0,72,17,24,31
"NK",11,13,0,0,71,17,23,31
"Paneth",3,1,0,0,38,7,12,19
"Resident Macro.",509,110,0,0,69,17,23,29
"Stem",210,118,1,0,72,17,23,32
"T",42,145,0,1,74,17,25,32
"T Proliferating",0,3,0,1,48,8,22,18
"Tuft",10,4,0,0,54,14,11,29
"Endo.",6,27,0,0,54,12,23,19
"Fibro.",0,2,0,0,21,3,11,7
"Neutrophils",NA,NA,NA,NA,22,2,19,1
"Plasma",37,39,1,0,52,8,21,23
"Recruited Macro.",NA,NA,NA,NA,20,2,16,2
"B Proliferating",0,1,0,0,24,5,10,9
"ABCA8+ Fibro.",NA,NA,NA,NA,9,2,5,2
"PDGFRA+ Fibro.",NA,NA,NA,NA,10,0,8,2
"PDPN+ Fibro.",NA,NA,NA,NA,5,0,5,0
"Plasma Proliferating",NA,NA,NA,NA,5,0,4,1
