"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ontology","cell_type","cell_group","tissue","comparison","dataset"
"GO:0042060","wound healing",188,0.534764887655747,2.0580049337244,1e-10,8.63624818603527e-08,7.04283879796513e-08,1147,"tags=35%, list=16%, signal=30%","50506/6288/301/3043/7076/5265/3673/7128/960/308/26509/2152/1265/5912/6558/7414/5530/3091/3998/2717/3572/7494/7422/55207/1839/1832/5291/79026/3694/2683/22875/5154/5339/5873/10413/6868/6385/8837/3688/3685/2923/6431/8761/29071/8546/2048/8525/667/160851/6484/116844/2039/221037/5329/966/5359/26258/4853/7094/27346/10672/51330/23499/79056/2776/26127","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0002694","regulation of leukocyte activation",206,0.517193656766914,2.00057767537469,1e-10,8.63624818603527e-08,7.04283879796513e-08,1220,"tags=32%, list=17%, signal=27%","3113/301/51237/3115/3122/972/5320/3956/3108/7128/11005/3659/1604/3127/3123/10875/5530/149041/5591/8915/975/80149/10808/57162/5880/55183/1948/3572/7494/3949/5781/6595/83737/8651/441478/4860/3133/3606/10892/5573/472/6385/1499/6599/55122/22890/6541/9867/6830/8546/2048/84524/9258/27242/5359/8943/26258/3329/5074/55193/11151/7532/6929/8289/7525/4179","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0030155","regulation of cell adhesion",327,0.492956761511101,1.95568931441089,1e-10,8.63624818603527e-08,7.04283879796513e-08,1299,"tags=36%, list=19%, signal=31%","3113/6288/301/3115/3122/972/5320/3956/3673/3108/10562/4582/11005/960/3659/91663/3655/1604/3127/3909/201294/3123/4680/10875/7414/5530/149041/5921/8915/975/80149/10808/463/57162/5880/1021/1948/6662/3572/7494/7422/5781/6595/8754/3716/2049/83737/8751/8651/10551/441478/182/5291/54453/6093/4860/3133/3606/10892/811/5573/472/342184/51144/3169/23075/6385/23560/5295/29984/3685/6904/6599/80005/3987/9748/10725/22890/6541/55920/998/4651/5318/5786/9475/51201/8546/2048/445/7082/84524/65125/6484/5034/650/27242/2039/2526/5329/51441/8943/6789/3329/79834/7094/5074/55193/23499/11151/7532/8289/2810/7525/1843/4179/9306/3204/56477/3516","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0098609","cell-cell adhesion",327,0.474801683022495,1.88366333612099,1e-10,8.63624818603527e-08,7.04283879796513e-08,1220,"tags=34%, list=17%, signal=29%","3113/301/3115/3043/6280/3122/972/5320/3956/3673/3108/960/3659/91663/23022/3655/1604/3127/6282/3909/5912/3123/4680/10875/7414/5530/149041/8915/975/80149/10808/29766/57162/5880/1948/6662/2717/3572/7494/7422/5781/6595/8754/3716/2049/27020/83737/22862/8651/1832/441478/182/5291/6093/4860/3133/3694/3606/10892/5573/3691/55591/3169/23075/6385/1499/23560/3688/3685/2923/6599/3987/10725/22890/6541/7430/4651/5318/1048/1956/5789/27032/51201/8546/445/7082/1829/84524/65125/6484/650/116844/27242/2526/5329/51441/2195/8943/3329/7094/5074/10890/55193/11151/7532/8289/2810/7525/64065/1824/4179","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0045785","positive regulation of cell adhesion",197,0.527670497380598,2.02984599858394,1.04151570019721e-10,8.63624818603527e-08,7.04283879796513e-08,1220,"tags=37%, list=17%, signal=31%","3113/6288/301/3115/3122/972/3956/3673/3108/10562/960/91663/3655/1604/3127/201294/3123/4680/5530/8915/975/10808/463/1021/1948/3572/7494/7422/5781/6595/8754/3716/8651/10551/54453/6093/4860/3133/3606/10892/811/472/342184/51144/3169/6385/29984/3685/6599/80005/3987/10725/22890/6541/998/4651/8546/7082/6484/5034/2526/5329/8943/6789/3329/55193/11151/7532/8289/2810/7525/4179","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0051249","regulation of lymphocyte activation",194,0.524010159542261,2.01212041310212,1.66372033565337e-10,1.14963075193648e-07,9.37521003178704e-08,1220,"tags=32%, list=17%, signal=27%","3113/301/51237/3115/3122/972/5320/3956/3108/7128/11005/3659/1604/3127/3123/10875/5530/149041/5591/8915/975/80149/10808/57162/5880/55183/1948/3572/7494/5781/6595/83737/8651/441478/4860/3133/3606/10892/5573/472/6385/1499/6599/55122/22890/6541/6830/8546/2048/84524/27242/8943/26258/3329/5074/55193/11151/7532/6929/8289/7525/4179","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0050865","regulation of cell activation",221,0.502423513934299,1.95838755815503,2.38974207625615e-10,1.39433764758444e-07,1.13707886461046e-07,1220,"tags=32%, list=17%, signal=27%","3113/301/51237/3115/3122/972/5320/3956/3108/7128/11005/3659/1604/3127/3123/10875/5530/149041/5591/8915/975/80149/10808/57162/5880/55183/8543/1948/3572/7494/3949/5781/6595/83737/8651/441478/4860/3133/3606/10892/5573/5154/472/6385/1499/6599/55122/22890/6541/9867/6830/8546/2048/4602/84524/9258/27242/5359/8943/26258/3329/5074/55193/11151/7532/2776/6929/8289/7525/4179","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0008284","positive regulation of cell population proliferation",345,0.454520246356911,1.80807176680114,2.69047302958889e-10,1.39433764758444e-07,1.13707886461046e-07,918,"tags=26%, list=13%, signal=24%","3113/301/51237/3115/5968/5967/7076/972/3673/7128/1604/2152/6772/6690/467/25940/4680/3918/5530/3091/4953/975/23421/6774/57162/5880/332/9982/1021/246175/1948/6662/3572/7494/7422/57448/6595/1839/5629/27035/441478/891/394/894/6745/4860/3133/23028/2683/3606/3725/3192/133/811/5154/10413/6259/6868/1958/1499/5295/8837/3688/3685/6599/55122/685/4673/6431/6541/6386/998/3164/55022/1956/204851/1786/2048/4602/10135/1646/7082/6667/1512/23512/9236/57326/8792/650/116844","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0140546","defense response to symbiont",434,0.429069121477729,1.72840784222509,3.89067311936785e-10,1.79230341698879e-07,1.46161895431691e-07,1629,"tags=34%, list=23%, signal=28%","3113/301/5266/6368/5968/6280/3934/2919/5967/7431/8542/972/1670/7128/11005/2920/717/4069/3659/2921/1604/1755/26058/2635/201294/6772/3303/54625/9097/9908/83666/3320/330/5591/8915/5062/10581/837/57162/54765/10492/3437/8467/834/55207/5781/3716/83737/8751/3669/9698/5291/3133/9188/56829/3606/133/10892/661/151636/5873/55210/10410/54809/9641/6590/27297/5295/7334/55122/22890/10623/998/2634/57169/5966/9867/10010/602/8546/10097/5987/55646/10527/445/6732/6197/10406/10096/170506/9782/4841/9258/58191/26057/51441/140609/5359/3329/7534/9821/5610/79184/11151/29979/7157/51667/6773/1452/142/2810/7531/164/7791/4179/10206/56477/55366/6814/89122/9424/55161/22933/965/84640/3459/7867/8519/6170/64922/2885/171568/4669/10146/203068/3106/26060/481/54836/6421/5052/80216/3843/3454/7520/6364/8473","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0007159","leukocyte cell-cell adhesion",165,0.541466551630864,2.05127424639754,4.95189948098484e-10,2.05305752481632e-07,1.67426327714982e-07,1291,"tags=38%, list=18%, signal=32%","3113/301/3115/6280/3122/972/5320/3956/3108/960/3659/1604/3127/3123/10875/5530/149041/8915/975/80149/10808/57162/5880/1948/3572/7494/5781/6595/83737/8651/441478/6093/4860/3133/3606/10892/5573/6385/3688/6599/10725/22890/6541/7430/8546/445/84524/65125/6484/116844/27242/2526/8943/3329/5074/55193/11151/7532/8289/7525/4179/9306/56477","Up","BP","Enterocytes_BEST4","EPI","Colon","ActiveCD_vs_Control","dataset_02"
