"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Fibroblasts ADAMDEC1",17,9,26,"07_TI_STR_ActiveCD_vs_Control","Control",8,"ActiveCD",12,0.999538433502604,-0.112,0.0210283243515476,"**1.379**",0.580791722852739,0.698,0.999538433502604,-0.18
"Activated fibroblasts CCL19 ADAMADEC1",1,0,1,"07_TI_STR_ActiveCD_vs_Control","Control",5,"ActiveCD",9,0.998776876782592,0.927,0.998776876782592,"1.562",0.998776876782592,1.381,0.998776876782592,-0.431
"Endothelial cells CA4 CD36",0,0,0,"07_TI_STR_ActiveCD_vs_Control","Control",7,"ActiveCD",12,0.999688413881086,-0.13,0.999688413881086,"0.708",0.999688413881086,0.154,0.999688413881086,2.116
"Endothelial cells CD36",0,0,0,"07_TI_STR_ActiveCD_vs_Control","Control",7,"ActiveCD",12,0.999498268750443,0.525,0.999498268750443,"1.16",0.999498268750443,0.379,0.999498268750443,0.504
"Endothelial cells DARC",0,0,0,"07_TI_STR_ActiveCD_vs_Control","Control",7,"ActiveCD",12,0.999979708829671,0.307,0.999979708829671,"0.61",0.999979708829671,-0.048,0.999979708829671,-0.011
"Lymphatics",0,0,0,"07_TI_STR_ActiveCD_vs_Control","Control",4,"ActiveCD",10,0.999923216113378,-0.468,0.999923216113378,"2.635",NA,NA,NA,NA
"Fibroblasts SMOC2 PTGIS",0,0,0,"07_TI_STR_ActiveCD_vs_Control","Control",6,"ActiveCD",11,0.999721005544231,-0.323,0.928428877213541,"1.767",0.999721005544231,1.01,0.999721005544231,1.61
"Endothelial cells LTC4S SEMA3G",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",6,"ActiveCD",11,NA,NA,NA,NA,NA,NA,NA,NA
"Myofibroblasts GREM1 GREM2",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",5,"ActiveCD",10,NA,NA,NA,NA,NA,NA,NA,NA
"Pericytes HIGD1B STEAP4",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",6,"ActiveCD",11,NA,NA,NA,NA,NA,NA,NA,NA
"Fibroblasts KCNN3 LY6H",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",4,"ActiveCD",5,NA,NA,NA,NA,NA,NA,NA,NA
"Fibroblasts NPY SLITRK6",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",5,"ActiveCD",11,NA,NA,NA,NA,NA,NA,NA,NA
"Fibroblasts SFRP2 SLPI",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",4,"ActiveCD",8,NA,NA,NA,NA,NA,NA,NA,NA
"Glial cells",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",6,"ActiveCD",7,NA,NA,NA,NA,NA,NA,NA,NA
"Myofibroblasts HHIP NPNT",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",6,"ActiveCD",11,NA,NA,NA,NA,NA,NA,NA,NA
"Pericytes RERGL NTRK2",NA,NA,NA,"07_TI_STR_ActiveCD_vs_Control","Control",5,"ActiveCD",6,NA,NA,NA,NA,NA,NA,NA,NA
