"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Mature Colonocyte",23,18,41,"08_AC_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",39,0.906915062454725,0.208,0.489091206559185,0.67,0.977042827408421,0.128,NA,0.739
"Intermediate Colonocyte",18,20,38,"08_AC_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",39,0.99936947399336,0.104,0.20608927476796,0.646,0.96890080992842,0.158,0.755975469779854,0.968
"Stem",7,4,11,"08_AC_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",39,0.999562206497258,-0.04,0.999562206497258,0.339,0.999562206497258,0.177,NA,0.345
"Early Colonocyte",4,3,7,"08_AC_LI_InactiveCD_vs_Control","Control",15,"InactiveCD",36,NA,0.139,0.901743326113631,0.499,NA,0.294,NA,0.618
"Cycling TA",3,3,6,"08_AC_LI_InactiveCD_vs_Control","Control",15,"InactiveCD",39,0.999997102771631,-0.097,0.999997102771631,0.589,0.999997102771631,0.194,NA,NA
"Early Goblet",2,3,5,"08_AC_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",39,0.999710408068606,0.294,0.999710408068606,0.345,0.999710408068606,-0.109,0.999710408068606,-0.243
"Mature Goblet",0,3,3,"08_AC_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",38,0.998584835121316,-0.224,0.998584835121316,0.455,0.998584835121316,-0.203,NA,NA
"BEST4/OTOP2",0,2,2,"08_AC_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",38,0.999742914645032,0.202,0.999742914645032,0.742,0.999742914645032,0.061,NA,NA
"B",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",11,"InactiveCD",33,NA,NA,NA,NA,NA,NA,NA,NA
"B Proliferating",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",8,"InactiveCD",23,NA,NA,NA,NA,NA,NA,NA,NA
"EEC",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",12,"InactiveCD",34,NA,NA,NA,NA,NA,NA,NA,NA
"Endo.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",6,"InactiveCD",22,NA,NA,NA,NA,NA,NA,NA,NA
"Goblet Proliferating",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",14,"InactiveCD",34,NA,NA,NA,NA,NA,NA,NA,NA
"LND",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",3,"InactiveCD",20,NA,NA,NA,NA,NA,NA,NA,NA
"NK",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",14,"InactiveCD",37,NA,NA,NA,NA,NA,NA,NA,NA
"Plasma",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",12,"InactiveCD",33,NA,NA,NA,NA,NA,NA,NA,NA
"Resident Macro.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",10,"InactiveCD",27,NA,NA,NA,NA,NA,NA,NA,NA
"T",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",13,"InactiveCD",38,NA,NA,NA,NA,NA,NA,NA,NA
"T Proliferating",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",0,"InactiveCD",17,NA,NA,NA,NA,NA,NA,NA,NA
"Tuft",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",15,"InactiveCD",35,NA,NA,NA,NA,NA,NA,NA,NA
"Fibro.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",7,"InactiveCD",16,NA,NA,NA,NA,NA,NA,NA,NA
"Mast",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",8,"InactiveCD",33,NA,NA,NA,NA,NA,NA,NA,NA
"Neutrophils",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",2,"InactiveCD",10,NA,NA,NA,NA,NA,NA,NA,NA
"Recruited Macro.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",4,"InactiveCD",20,NA,NA,NA,NA,NA,NA,NA,NA
"ABCA8+ Fibro.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",2,"InactiveCD",7,NA,NA,NA,NA,NA,NA,NA,NA
"PDGFRA+ Fibro.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",1,"InactiveCD",6,NA,NA,NA,NA,NA,NA,NA,NA
"PDPN+ Fibro.",NA,NA,NA,"08_AC_LI_InactiveCD_vs_Control","Control",0,"InactiveCD",1,NA,NA,NA,NA,NA,NA,NA,NA
