"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ont","direction","cluster"
"GO:0000803","sex chromosome",20,-0.840127516476415,-2.25323235065928,0.000750013266418128,0.0144611932931245,0.0123110730244291,2,"tags=10%, list=0%, signal=10%","23309/7503","CC","Down",8
"GO:0001503","ossification",225,0.453239683439878,1.94722489118125,5.70491583352864e-08,5.51208967835537e-06,4.67442787875652e-06,1238,"tags=21%, list=12%, signal=19%","3488/3485/4313/93/1278/1277/7474/1290/3371/1291/8519/861/1513/4256/6348/64131/1499/22856/255743/2254/7481/29887/3400/374/51025/240/2132/4665/4921/7171/4192/2274/656/4209/3549/6575/5552/865/51232/7473/26578/10312/5251/51430/202018/166929/2261","BP","Up",4
"GO:0001772","immunological synapse",33,0.607395884338578,1.89239826720232,0.00148482313507688,0.0269451727747776,0.0229389084954602,1281,"tags=42%, list=13%, signal=37%","951/3932/963/3123/4739/975/5573/214/84766/11151/3122/29775/1739/399","CC","Up",10
"GO:0001968","fibronectin binding",17,0.739790353855869,1.94073380657563,0.000509432292595237,0.0171227474256154,0.0154260599910588,343,"tags=29%, list=3%, signal=28%","3488/4313/1513/1520/7057","MF","Up",12
"GO:0002250","adaptive immune response",253,0.581369926315524,2.51788217420137,1e-10,2.01291666666667e-08,1.70701754385965e-08,1495,"tags=42%, list=15%, signal=36%","3118/3135/28299/3501/3500/3539/10673/3538/3956/28823/3426/3514/3502/115650/6363/28817/5896/3117/3115/28908/28809/717/23308/3113/3507/28452/1880/716/958/28930/973/1520/28813/28755/2207/733/3494/1604/3133/3493/28912/3134/1191/714/712/5788/10068/713/639/3106/3127/3107/3575/384/5585/924/974/11118/3512/29126/301/969/567/2013/6891/3123/6890/10459/915/3566/11119/975/28639/3503/64332/201294/972/3659/28638/6095/5971/196/563/214/10312/8284/84766/6774/6776/3122/55122/27242/28815/84876/6398/28442/3108/3105/2048/56957/10384/7248/5130/440275/100423062","BP","Up",1
"GO:0002252","immune effector process",338,0.471007500849183,2.09340073556083,1e-10,2.01291666666667e-08,1.70701754385965e-08,1495,"tags=31%, list=15%, signal=27%","3135/3501/7474/5730/3500/3539/3538/3956/4843/3426/3514/3502/6363/9516/51237/717/23308/28452/1880/716/958/6348/5880/7305/10875/653361/2207/733/629/3494/1604/3133/3493/3134/1191/714/712/5788/713/2/3106/3689/3107/3575/171389/538/3820/5585/924/11118/5443/29126/301/969/5950/567/4192/558/2013/1776/6891/7805/3123/10459/684/3566/975/306/3503/64332/201294/972/80031/79671/1130/6095/5971/196/563/914/10417/6777/10312/8284/84766/6774/11151/6776/51135/3122/4818/4282/6461/2671/6398/28442/3105/5581/2048/10384/7248/5130/9948/440275/100423062","BP","Up",1
"GO:0002443","leukocyte mediated immunity",208,0.503696460359263,2.14164634498231,9.62872175900629e-10,1.55054516059198e-07,1.31491175740535e-07,1129,"tags=31%, list=11%, signal=28%","3135/3501/5730/3500/3539/3538/4843/3426/3514/3502/717/28452/716/958/6348/5880/7305/2207/733/3494/1604/3133/3493/3134/1191/714/712/5788/713/3106/3689/3107/3575/171389/3820/924/11118/5443/29126/567/2013/1776/6891/3123/10459/684/3566/975/306/3503/64332/201294/972/1130/196/563/914/10417/6777/10312/8284/11151/51135/3122/4818","BP","Up",1
"GO:0002449","lymphocyte mediated immunity",160,0.516391802711273,2.10649034159457,3.070256807055e-08,3.29609125219615e-06,2.79519052469194e-06,1129,"tags=32%, list=11%, signal=29%","3135/3501/3500/3539/3538/3426/3514/3502/717/28452/716/958/2207/733/3494/1604/3133/3493/3134/1191/714/712/5788/713/3106/3107/3575/3820/924/11118/29126/567/2013/6891/3123/10459/3566/975/3503/64332/201294/972/1130/196/563/914/6777/10312/8284/11151/3122/4818","BP","Up",1
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",27,0.812747660165546,2.41372180676494,1.14129560854254e-08,1.41374335509462e-06,1.19889946246898e-06,346,"tags=56%, list=3%, signal=54%","3501/3500/3426/3502/717/716/733/3494/1604/3493/1191/714/712/5788/713","BP","Up",1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",174,0.543099542273804,2.24038428495027,1e-10,2.01291666666667e-08,1.70701754385965e-08,1122,"tags=33%, list=11%, signal=30%","3135/3501/3500/3539/10673/3538/3956/3426/3514/3502/6363/717/28452/716/958/2207/733/3494/1604/3133/3493/3134/1191/714/712/5788/10068/713/3106/3107/3575/5585/924/11118/29126/301/969/567/2013/6891/3123/10459/3566/975/3503/64332/201294/972/6095/5971/196/563/10312/8284/84766/6774/6776/3122","BP","Up",1
