"cell_type","upregulated","downregulated","total_significant","JAK1_padj","JAK1_log2FC","JAK2_padj","JAK2_log2FC","STAT1_padj","STAT1_log2FC","SOCS1_padj","SOCS1_log2FC","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Enterocytes TMIGD1 MEP1A",206,68,274,0.559527288702601,0.17741867957688,0.24130966878244,0.418400204662963,0.280817051737669,0.569756177313599,0.831584462717875,0.201225988054316,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Paneth cells",6,75,81,0.974256109140886,-0.0284585081211929,NA,NA,0.84367318365753,-0.18917653670231,0.811687742934255,-0.267773016478265,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Goblet cells MUC2 TFF1",25,24,49,0.693920000516716,0.160872883321021,0.123759408166106,0.862668697169514,0.695377568489305,0.331528040746405,0.627358334349513,-0.535953758511578,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Stem cells OLFM4 PCNA",9,19,28,0.785009880282603,-0.231257044486687,NA,-0.191435881488271,0.957963406322897,0.130075604305144,NA,-0.521638805532504,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Goblet cells MUC2 TFF1-",5,13,18,0.965167603279988,-0.0762662949580193,NA,0.270371960273531,0.911287742007116,0.2038612687573,NA,-0.0634108148354268,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Stem cells OLFM4 LGR5",6,9,15,0.705849860133966,-0.214702439458971,0.903201335889649,0.299518193339954,0.903201335889649,0.217570761666713,0.819726833116336,-0.459579931146555,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"L cells",3,5,8,0.997180446580726,-0.0107153129437892,NA,NA,NA,0.168481584023676,NA,-1.17704245733818,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Enterocytes TMIGD1 MEP1A GSTA1",6,1,7,NA,0.138464378281738,NA,NA,NA,0.77585089135832,NA,NA,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Stem cells OLFM4 GSTA1",6,1,7,0.998968099686162,-0.156252210189446,NA,0.297486124511022,0.998968099686162,0.245997740543098,NA,-0.0284416980524005,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Tuft cells",0,6,6,0.984950828095345,0.313356346789591,NA,NA,0.984950828095345,0.223525370783277,NA,NA,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",25
"Enterocytes BEST4",0,4,4,0.998966171932639,0.0464196840203044,0.998966171932639,0.644796330013742,0.998966171932639,0.464266809671592,NA,NA,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Epithelial Cycling cells",2,2,4,0.985849197653307,-0.0416253728575278,0.935547408882215,-0.261262320852293,0.859012893737133,0.237708637808112,0.984522311773369,-0.145887653726938,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Stem cells OLFM4",0,4,4,0.965326880681035,-0.38181567651671,0.990657848521303,-0.279217442402093,0.990657848521303,0.431287764897922,0.990657848521303,-0.427148703805362,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Enterochromaffin cells",0,2,2,NA,-0.213854206891425,NA,NA,NA,0.235515327324727,NA,-0.472181280158019,"05_TI_EPI_InactiveCD_vs_Control","Control",9,"InactiveCD",24
"Epithelial cells METTL12 MAFB",0,1,1,NA,NA,NA,NA,0.996283052181598,0.591674799077487,0.996283052181598,-0.942678982736505,"05_TI_EPI_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Epithelial HBB HBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05_TI_EPI_InactiveCD_vs_Control","Control",6,"InactiveCD",18
"Goblet cells SPINK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05_TI_EPI_InactiveCD_vs_Control","Control",9,"InactiveCD",26
