"cell_type","upregulated","downregulated","total_significant","JAK1_padj","JAK1_log2FC","JAK2_padj","JAK2_log2FC","STAT1_padj","STAT1_log2FC","SOCS1_padj","SOCS1_log2FC","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Plasma cells",5382,1421,6803,4.61463888531452e-15,1.3797404923985,2.42723155216673e-13,2.00178596428076,0.0278721929342129,1.040771440638,0.817344286533345,0.0818649536063135,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Macrophages CCL3 CCL4",4255,553,4808,1.80603557578294e-09,1.76304100552663,1.70758368885555e-06,2.71279291008872,0.00159146203346065,2.14853649091982,0.126056824566124,0.856615330733259,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"T cells CD4 FOSB",3610,716,4326,1.78014372913178e-16,1.54042715556831,1.11578950596976e-05,2.42576086744507,0.000514675948075051,1.28839364940544,0.270786842622396,-0.363165782333257,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Immune Cycling cells",3226,434,3660,2.03267184784689e-13,1.58507455175291,4.81617937288083e-06,2.63270620509913,0.00625345763892328,1.6631640560187,0.260201606843463,0.53367979556501,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"DC2 CD1D",2928,689,3617,8.74227959310707e-06,1.12557768475749,2.50982006197425e-09,2.40725320190933,0.00022113482201095,2.29033757837332,0.0505723074645533,0.920545943508761,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"Macrophages LYVE1",3284,257,3541,6.72258380851685e-07,1.70654084072054,5.00183572173698e-08,2.75595354018464,0.0031630153402149,2.13615458562355,0.60294836352377,-0.327736638658091,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Macrophages Metallothionein",2939,51,2990,5.19864325668497e-07,1.80988906422159,0.0072401456276346,1.87266964456108,0.0896130009106609,1.55995764837436,0.209088280484442,1.01025096117546,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",15
"T cells Naive CD4",1994,876,2870,1.65160792478888e-13,1.36947161580795,NA,NA,0.0148596558821347,0.970724688038367,0.00136017320712511,-0.816862915952065,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"B cells",2134,175,2309,5.70839528072486e-12,1.39865721956203,0.00261474427393868,2.07585186152775,0.000117831718655183,2.56895471901774,0.384165873641064,0.436234465794858,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Tregs",1762,440,2202,2.51858257555574e-14,1.67476420213637,NA,NA,0.0115957746901894,0.978194012408658,0.151586255582914,-0.490033206883678,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"Mast cells",1791,397,2188,7.63948815463987e-05,1.41242578011494,NA,NA,0.151044091627095,0.827002316163739,0.433973710476689,0.403884657103705,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"T cells CD4 IL17A",1590,359,1949,1.10849491939154e-11,1.55028337627802,NA,NA,0.0185135121176478,1.21724608734774,0.828898573628709,-0.082957345207892,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"NK-like cells ID3 ENTPD1",1526,416,1942,7.28807403783457e-13,1.43119212255396,NA,NA,0.261176753835628,0.598471172316729,0.408215932400732,-0.25340521293937,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"T cells CD8",1453,483,1936,3.1715523757345e-11,1.28381688290713,NA,NA,0.0758934301242614,0.776444955726201,0.229554371307951,-0.315723187014614,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"T cells CD8 KLRG1",1443,405,1848,5.98596134355611e-11,1.625132305087,NA,NA,0.0025956840780936,1.34687001690062,0.00156429279858953,-0.734238874265787,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"NK cells KLRF1 CD3G-",990,280,1270,7.39978875487193e-11,1.59221228846725,NA,NA,0.209286730285181,0.918418718292712,0.882339892541602,-0.0554939063417244,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"DC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"DC2 CD1D-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"ILCs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
