"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"Glial cells",25,1,26,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",25,0.71019394547133,-0.418,0.16673139958247,1.555,NA,0.431,NA,NA
"Fibroblasts ADAMDEC1",17,5,22,"07_TI_STR_InactiveCD_vs_Control","Control",8,"InactiveCD",26,0.669443847177194,0.129,0.393695118547763,0.423,0.14906626280759,0.519,0.899300598476604,-0.095
"Lymphatics",3,0,3,"07_TI_STR_InactiveCD_vs_Control","Control",4,"InactiveCD",26,0.801701584219389,0.422,NA,1.298,NA,0.574,NA,NA
"Endothelial cells CA4 CD36",1,1,2,"07_TI_STR_InactiveCD_vs_Control","Control",7,"InactiveCD",25,0.996516684229676,0.004,0.929973785441786,0.142,0.854876653351575,0.24,NA,1.475
"Fibroblasts SMOC2 PTGIS",0,1,1,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",25,0.998877144918678,-0.005,0.828384611796575,0.899,0.895422367536767,0.518,NA,NA
"Endothelial cells CD36",0,0,0,"07_TI_STR_InactiveCD_vs_Control","Control",7,"InactiveCD",26,0.695502952108648,0.439,0.944756901536137,0.145,0.898635899667704,0.301,0.881924372210128,0.577
"Endothelial cells DARC",0,0,0,"07_TI_STR_InactiveCD_vs_Control","Control",7,"InactiveCD",26,0.93859022199083,0.24,0.93629094483795,0.367,0.998144973818469,-0.029,0.99617250673973,-0.073
"Activated fibroblasts CCL19 ADAMADEC1",0,0,0,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",22,0.95713303003004,0.739,0.95713303003004,0.898,0.95713303003004,0.986,0.95713303003004,-0.701
"Fibroblasts NPY SLITRK6",0,0,0,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",24,0.996957873110998,-0.475,0.996957873110998,0.273,0.996957873110998,0.364,NA,NA
"Myofibroblasts HHIP NPNT",0,0,0,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",25,0.99921336459366,-0.303,0.99921336459366,1.031,0.99921336459366,0.173,NA,NA
"Endothelial cells LTC4S SEMA3G",NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",24,NA,NA,NA,NA,NA,NA,NA,NA
"Myofibroblasts GREM1 GREM2",NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",25,NA,NA,NA,NA,NA,NA,NA,NA
"Pericytes HIGD1B STEAP4",NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",26,NA,NA,NA,NA,NA,NA,NA,NA
"Fibroblasts KCNN3 LY6H",NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",4,"InactiveCD",23,NA,NA,NA,NA,NA,NA,NA,NA
"Fibroblasts SFRP2 SLPI",NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",4,"InactiveCD",24,NA,NA,NA,NA,NA,NA,NA,NA
"Pericytes RERGL NTRK2",NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",22,NA,NA,NA,NA,NA,NA,NA,NA
