"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","STAT1_padj","STAT1_log2FC","STAT2_padj","STAT2_log2FC","SOCS1_padj","SOCS1_log2FC"
"T cells CD8",6,62,68,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26,0.776533084240208,-0.086,0.804659320692166,0.19,NA,-0.371,0.0605153684933384,-0.67
"IELs ID3 ENTPD1",0,43,43,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",25,0.97525882362925,-0.02,0.852796294426045,-0.209,NA,0.625,0.266778717097936,-0.71
"T cells CD4 IL17A",11,16,27,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",25,0.598692330875416,0.158,0.608080480318301,0.335,NA,-0.172,0.215881830509065,-0.509
"T cells CD4 FOSB",2,6,8,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26,0.992167679411082,0.005,0.607411126681704,0.418,NA,-0.122,0.165603580550746,-0.61
"Plasma cells",2,4,6,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26,0.992668597659436,-0.065,0.986328775602286,0.239,0.992668597659436,0.083,0.998774515909524,-0.005
"T cells CD8 KLRG1",0,6,6,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26,0.855505903992349,0.184,0.851336413645855,0.361,NA,-0.221,0.700472857969749,-0.454
"DC1",0,4,4,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26,0.901195713796241,-0.14,0.51130844300253,-0.737,NA,-0.627,NA,NA
"Cycling cells",1,2,3,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",26,0.805039910108875,0.213,0.292868645061575,1.118,NA,0.06,0.186008848286721,-1.302
"ILCs",2,1,3,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",25,0.982492413482389,-0.092,0.981201825168039,-0.163,NA,NA,0.799995303481685,-0.574
"Macrophages CCL3 CCL4",1,1,2,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",26,0.977423845214002,-0.092,0.983673691388329,0.203,0.983673691388329,0.107,0.977423845214002,-0.914
"B cells",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26,0.99942843702888,-0.083,0.99942843702888,0.808,0.99942843702888,0.087,0.99942843702888,-0.43
"DC2 CD1D",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26,0.997140661326708,-0.132,0.997140661326708,0.671,0.997140661326708,0.201,0.997140661326708,-1.099
"DC2 CD1D-",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26,0.992851594512078,-0.343,0.984220466838956,0.859,0.992851594512078,-0.193,NA,NA
"Macrophages",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26,0.99573020871677,-0.456,0.99573020871677,0.808,0.99573020871677,-0.082,NA,NA
"Macrophages LYVE1",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26,0.676248635086015,0.647,0.833751661565024,0.931,0.979986111183366,0.142,NA,NA
"Mast cells",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26,0.835798359161162,0.481,0.817917836653936,0.578,0.863017254965701,-0.581,0.833160403968077,0.457
"Monocytes S100A8 S100A9",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",6,"InactiveCD",26,0.997598527361378,0.186,0.997598527361378,0.146,0.997598527361378,0.664,NA,NA
"NK cells KLRF1 CD3G-",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26,0.984369916342255,-0.064,0.980135857261711,-0.154,NA,NA,0.775682489427665,-0.756
"T cells Naive CD4",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",25,0.998231378707503,0.141,0.82775988861746,0.882,0.998231378707503,-0.692,0.886501356855786,-0.709
"T cells OGT",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26,0.991130892451021,0.025,0.899873046432074,0.638,0.965729643305009,0.163,0.934214945490167,0.263
"Tregs",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",26,0.999863801402278,0.146,0.999863801402278,0.852,0.999863801402278,0.644,0.999863801402278,-0.703
"Macrophages CXCL9 CXCL10",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",4,"InactiveCD",26,NA,NA,NA,NA,NA,NA,NA,NA
"Macrophages PLA2G2D",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",6,"InactiveCD",24,NA,NA,NA,NA,NA,NA,NA,NA
"Mature DCs",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26,NA,NA,NA,NA,NA,NA,NA,NA
"Monocytes HBB",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",2,"InactiveCD",12,NA,NA,NA,NA,NA,NA,NA,NA
"Neutrophils S100A8 S100A9",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",0,"InactiveCD",3,NA,NA,NA,NA,NA,NA,NA,NA
"B cells AICDA LRMP",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",22,NA,NA,NA,NA,NA,NA,NA,NA
"Monocytes CHI3L1 CYP27A1",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",5,"InactiveCD",9,NA,NA,NA,NA,NA,NA,NA,NA
