"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ontology","cell_type","cell_group","tissue","comparison","dataset"
"GO:0010257","NADH dehydrogenase complex assembly",57,-0.692262766858809,-2.87067454126087,1e-10,1.18081784776172e-08,8.6023840770799e-09,2036,"tags=68%, list=21%, signal=55%","4720/4711/51103/4698/4717/25915/80224/55471/51300/4536/55967/29090/4709/4724/4728/374291/4718/4705/4694/5018/9131/51295/4708/4713/4706/137682/51079/4712/4535/25880/4700/4722/54539/4702/4695/4715/126328/29078/4716","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0032981","mitochondrial respiratory chain complex I assembly",57,-0.692262766858809,-2.87067454126087,1e-10,1.18081784776172e-08,8.6023840770799e-09,2036,"tags=68%, list=21%, signal=55%","4720/4711/51103/4698/4717/25915/80224/55471/51300/4536/55967/29090/4709/4724/4728/374291/4718/4705/4694/5018/9131/51295/4708/4713/4706/137682/51079/4712/4535/25880/4700/4722/54539/4702/4695/4715/126328/29078/4716","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0019646","aerobic electron transport chain",77,-0.654748053644262,-2.84785569682807,1e-10,1.18081784776172e-08,8.6023840770799e-09,2251,"tags=75%, list=23%, signal=59%","6389/1738/29103/4519/4538/4731/4720/4711/51103/9167/29796/4698/4729/1351/4717/1347/4536/4513/54205/27089/7388/4709/4724/65018/4728/1350/374291/4718/7384/1340/4705/4694/7385/57017/4708/4713/4706/4514/4723/4712/4535/4700/4722/1345/7386/4702/6392/4695/4715/1537/1329/1337/9377/4716/1327/23479/4512/6390","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0033108","mitochondrial respiratory chain complex assembly",100,-0.635612594666162,-2.80215713873066,1e-10,1.18081784776172e-08,8.6023840770799e-09,2489,"tags=70%, list=25%, signal=53%","4707/4710/4704/116228/79145/51241/10063/493753/4538/79064/4720/4711/51103/9167/4698/90624/4717/25915/28958/84300/80224/1347/55471/51300/4536/55967/29090/644096/25813/4709/4724/4728/374291/4718/4705/100303755/4694/5018/9131/51295/51287/4708/4713/4706/137682/729515/2395/51079/4712/131474/4535/84987/25880/4700/4722/7386/54539/4702/4695/4715/126328/64756/29078/6834/51204/389203/4716/192286/80775/84275","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0042773","ATP synthesis coupled electron transport",84,-0.616624236462231,-2.70866118619868,1e-10,1.18081784776172e-08,8.6023840770799e-09,2251,"tags=75%, list=23%, signal=58%","6389/1738/29103/4519/4538/4731/4720/4711/51103/9167/27069/1716/29796/4698/4729/1351/4717/1347/388753/4536/4513/55967/51142/54205/27089/7388/4709/4724/65018/4728/1350/374291/4718/7384/1340/4705/4694/7385/57017/4708/4713/4706/4514/4723/4712/4535/4700/4722/1345/7386/4702/6392/4695/4715/1537/1329/1337/9377/4716/1327/23479/4512/6390","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",84,-0.616624236462231,-2.70866118619868,1e-10,1.18081784776172e-08,8.6023840770799e-09,2251,"tags=75%, list=23%, signal=58%","6389/1738/29103/4519/4538/4731/4720/4711/51103/9167/27069/1716/29796/4698/4729/1351/4717/1347/388753/4536/4513/55967/51142/54205/27089/7388/4709/4724/65018/4728/1350/374291/4718/7384/1340/4705/4694/7385/57017/4708/4713/4706/4514/4723/4712/4535/4700/4722/1345/7386/4702/6392/4695/4715/1537/1329/1337/9377/4716/1327/23479/4512/6390","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0022904","respiratory electron transport chain",98,-0.556314026518769,-2.53671356377838,1e-10,1.18081784776172e-08,8.6023840770799e-09,2251,"tags=70%, list=23%, signal=55%","6389/1738/29103/4519/4538/4731/4720/4711/51103/9167/27069/1716/29796/4698/4729/1351/4717/3052/1347/388753/4536/4513/55967/51142/54205/27089/10514/10891/7388/4709/4724/65018/4728/1350/374291/2108/4718/7384/1340/4705/4694/7385/57017/4708/4713/4706/4514/2109/4723/4712/4535/4700/4722/1345/7386/4702/6392/2110/4695/4715/1537/1329/1337/9377/4716/1327/23479/4512/6390","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0006959","humoral immune response",112,0.7491695351593,2.33804787828537,1e-10,1.18081784776172e-08,8.6023840770799e-09,583,"tags=44%, list=6%, signal=42%","1673/4316/6280/3853/5068/2919/722/5650/1670/717/725/6373/4069/5968/6278/5473/3553/1671/240/5196/5967/5266/3426/5450/1604/6348/1880/2921/124976/6351/629/1235/715/712/1755/11005/710/6364/713/4283/6039/2/9308/975/2125/6590/28984/3627/3119","Up","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0009060","aerobic respiration",150,-0.461985170028136,-2.29651745405248,1e-10,1.18081784776172e-08,8.6023840770799e-09,2251,"tags=62%, list=23%, signal=49%","6389/8803/1738/29103/4519/4538/4731/56181/4720/4711/51103/9167/79085/27069/1716/29796/4698/4729/1351/4717/84300/3417/158/1347/388753/4536/4513/23410/55967/51142/54205/27089/7388/4709/4724/65018/4728/1350/374291/4718/7384/1340/4705/4694/7385/3421/5018/57017/4708/4713/4706/4514/5160/2395/51079/4723/8801/4712/4535/5162/4700/4722/1345/4190/30968/7386/4191/3420/54539/847/4702/6392/4695/4715/126328/50/400916/1537/1329/6834/8802/2647/1337/9377/4716/2271/1327/23479/4512/402/6390/10873/84275","Down","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0019730","antimicrobial humoral response",65,0.758274241002905,2.24865097283777,1e-10,1.18081784776172e-08,8.6023840770799e-09,684,"tags=45%, list=7%, signal=42%","1673/4316/6280/3853/5068/2919/5650/1670/6373/4069/5968/6278/5473/1671/5196/5967/5266/6348/2921/6351/1755/11005/6364/4283/6039/2125/6590/3627/2920","Up","BP","Enterocytes_TMIGD1_MEP1A","EPI","Colon","ActiveCD_vs_Control","dataset_02"
