"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Plasma cells",5382,1421,6803,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Macrophages CCL3 CCL4",4255,553,4808,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"T cells CD4 FOSB",3610,716,4326,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Immune Cycling cells",3226,434,3660,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"DC2 CD1D",2928,689,3617,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"Macrophages LYVE1",3284,257,3541,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Macrophages Metallothionein",2939,51,2990,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",15
"T cells Naive CD4",1994,876,2870,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"B cells",2134,175,2309,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Tregs",1762,440,2202,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"Mast cells",1791,397,2188,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"T cells CD4 IL17A",1590,359,1949,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"NK-like cells ID3 ENTPD1",1526,416,1942,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"T cells CD8",1453,483,1936,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"T cells CD8 KLRG1",1443,405,1848,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"NK cells KLRF1 CD3G-",990,280,1270,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"DC1",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"DC2 CD1D-",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"ILCs",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"Macrophages",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Mature DCs",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",11,"InactiveCD",14
"Monocytes S100A8 S100A9",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",14,"InactiveCD",17
"T cells OGT",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",6,"InactiveCD",17
"B cells AICDA LRMP",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",5
"Monocytes CHI3L1 CYP27A1",NA,NA,NA,"03_CO_IMM_InactiveCD_vs_Control","Control",5,"InactiveCD",7
