"cell_type","upregulated","downregulated","total_significant","JAK1_padj","JAK1_log2FC","JAK2_padj","JAK2_log2FC","STAT1_padj","STAT1_log2FC","SOCS1_padj","SOCS1_log2FC","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Glial cells",25,1,26,0.71019394547133,-0.417641420783591,NA,NA,0.16673139958247,1.55542023114153,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",25
"Fibroblasts ADAMDEC1",17,5,22,0.669443847177194,0.129305076591252,NA,0.813440029042327,0.393695118547763,0.422570075948485,0.899300598476604,-0.0946193794358253,"07_TI_STR_InactiveCD_vs_Control","Control",8,"InactiveCD",26
"Lymphatics",3,0,3,0.801701584219389,0.421658122896255,NA,NA,NA,1.29805081529584,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",4,"InactiveCD",26
"Endothelial cells CA4 CD36",1,1,2,0.996516684229676,0.0042847079421729,NA,-0.164913892994568,0.929973785441786,0.141688612555584,NA,1.47510162454241,"07_TI_STR_InactiveCD_vs_Control","Control",7,"InactiveCD",25
"Fibroblasts SMOC2 PTGIS",0,1,1,0.998877144918678,-0.00482490023085046,NA,NA,0.828384611796575,0.898810001936442,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",25
"Endothelial cells CD36",0,0,0,0.695502952108648,0.438734058619633,0.899661842701389,0.498348975922706,0.944756901536137,0.144635856950502,0.881924372210128,0.577009042068564,"07_TI_STR_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"Endothelial cells DARC",0,0,0,0.93859022199083,0.240433280959999,0.996048709095101,-0.080701261369783,0.93629094483795,0.366539635140404,0.99617250673973,-0.0728428318317859,"07_TI_STR_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"Activated fibroblasts CCL19 ADAMADEC1",0,0,0,0.95713303003004,0.738952980487245,NA,NA,0.95713303003004,0.898115830990745,0.95713303003004,-0.700841453365009,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",22
"Fibroblasts NPY SLITRK6",0,0,0,0.996957873110998,-0.474956658456874,0.996957873110998,-0.381470698276005,0.996957873110998,0.273180553972697,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",24
"Myofibroblasts HHIP NPNT",0,0,0,0.99921336459366,-0.302557225719258,NA,NA,0.99921336459366,1.03066466968428,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",25
"Endothelial cells LTC4S SEMA3G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",24
"Myofibroblasts GREM1 GREM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",25
"Pericytes HIGD1B STEAP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",6,"InactiveCD",26
"Fibroblasts KCNN3 LY6H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",4,"InactiveCD",23
"Fibroblasts SFRP2 SLPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",4,"InactiveCD",24
"Pericytes RERGL NTRK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07_TI_STR_InactiveCD_vs_Control","Control",5,"InactiveCD",22
