"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Intermediate Enterocyte",25,3,28,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"Early Enterocyte",18,5,23,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"Mature Enterocyte",18,2,20,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"Cycling TA",7,4,11,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"Mature Goblet",7,0,7,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",31
"Early Goblet",3,1,4,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"T",0,2,2,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"Stem",1,0,1,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",32
"B",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",10,"InactiveCD",24
"BEST4/OTOP2",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",31
"EEC",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",29
"Goblet Proliferating",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",16,"InactiveCD",32
"LND",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",9,"InactiveCD",26
"Mast",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",5,"InactiveCD",19
"NK",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",31
"Paneth",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",7,"InactiveCD",19
"Resident Macro.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",17,"InactiveCD",29
"T Proliferating",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",8,"InactiveCD",18
"Tuft",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",14,"InactiveCD",29
"Endo.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",12,"InactiveCD",19
"Fibro.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",3,"InactiveCD",7
"Neutrophils",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",2,"InactiveCD",1
"Plasma",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",8,"InactiveCD",23
"Recruited Macro.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",2,"InactiveCD",2
"B Proliferating",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",5,"InactiveCD",9
"ABCA8+ Fibro.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",2,"InactiveCD",2
"PDGFRA+ Fibro.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",0,"InactiveCD",2
"PDPN+ Fibro.",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",0,"InactiveCD",0
"Plasma Proliferating",NA,NA,NA,"09_TI_LI_InactiveCD_vs_Control","Control",0,"InactiveCD",1
