"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","ontology","cell_type","cell_group","tissue","comparison","dataset"
"GO:0033108","mitochondrial respiratory chain complex assembly",99,-0.630141904447216,-2.72231692575798,1e-10,5.91162790697674e-09,4.20930232558140e-09,2456,"tags=63%, list=22%, signal=49%","4710/4725/1347/51300/4717/131474/9131/9167/4720/84300/55967/4709/4711/25813/25915/91647/4704/55245/5018/137682/79064/6834/4708/4700/4713/644096/4535/100303755/389203/4706/729515/25880/4694/4695/4718/80224/4712/84987/4728/4705/28958/29078/2395/4724/83943/51204/7386/54539/374291/80775/4702/64756/4716/617/29090/192286/4722/51079/51295/4715/126328/84275","Down","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0042773","ATP synthesis coupled electron transport",83,-0.617793683232958,-2.60368097899801,1e-10,5.91162790697674e-09,4.20930232558140e-09,2843,"tags=76%, list=25%, signal=57%","11315/54205/4729/54949/4731/1738/4710/65018/4725/1347/4717/9167/4720/4697/51142/27069/55967/4709/4711/388753/983/1716/27089/1351/1350/4704/4512/6391/4708/4700/4713/4535/6389/29796/7388/4706/7385/4694/4695/4718/7384/4712/4728/1340/4705/6392/4723/4724/57017/7386/374291/1345/4702/9377/4716/1329/4722/1337/4715/1537/1327/23479/6390","Down","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",83,-0.617793683232958,-2.60368097899801,1e-10,5.91162790697674e-09,4.20930232558140e-09,2843,"tags=76%, list=25%, signal=57%","11315/54205/4729/54949/4731/1738/4710/65018/4725/1347/4717/9167/4720/4697/51142/27069/55967/4709/4711/388753/983/1716/27089/1351/1350/4704/4512/6391/4708/4700/4713/4535/6389/29796/7388/4706/7385/4694/4695/4718/7384/4712/4728/1340/4705/6392/4723/4724/57017/7386/374291/1345/4702/9377/4716/1329/4722/1337/4715/1537/1327/23479/6390","Down","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0006959","humoral immune response",125,0.772171018746019,2.46545095725982,1e-10,5.91162790697674e-09,4.20930232558140e-09,1047,"tags=50%, list=9%, signal=46%","4316/5068/6280/3853/6373/1673/5650/6278/4283/5266/1670/3627/5968/240/1671/717/4069/2919/3119/5788/722/124976/6348/5967/725/713/718/931/3553/6351/712/6376/1755/1880/710/3123/715/11005/128488/5196/5450/1604/1235/716/5452/714/3426/730/2921/9308/629/6368/28984/2/6364/6363/1191/10344/27242/2920/975/6352","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0002526","acute inflammatory response",46,0.810352519515799,2.29580326388488,1e-10,5.91162790697674e-09,4.20930232558140e-09,777,"tags=52%, list=7%, signal=49%","6288/6289/5068/6291/8876/145741/3557/9180/5265/718/3553/388125/5743/2212/2335/196527/2152/5345/3988/1776/23780/445/2/241","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",26,0.893248985888966,2.27960706378324,1e-10,5.91162790697674e-09,4.20930232558140e-09,306,"tags=54%, list=3%, signal=53%","3113/3115/3111/3119/3122/3117/972/3112/3109/3127/2207/1510/3108/3123","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0002250","adaptive immune response",256,0.683752799229199,2.27682948558191,1e-10,5.91162790697674e-09,4.20930232558140e-09,1140,"tags=39%, list=10%, signal=36%","3113/301/3115/3111/717/3119/3122/5788/90865/722/3117/973/3383/608/725/972/3112/713/718/3553/3109/3127/712/939/2207/1880/2212/201294/3108/7040/29126/7133/710/3123/639/715/10068/3635/64092/563/1604/1235/915/3662/969/7454/10673/3956/917/214/716/51561/958/974/3717/714/3426/730/6775/4067/916/10384/7099/7128/3659/11221/10411/3902/100423062/113/10865/57089/23529/6095/7462/9021/924/100/3981/196/2033/89857/6363/64167/57823/11119/1191/80149/6890/3554/3716/5585/604/182/27242/975/27240/55183/91543/10312/3572","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0001906","cell killing",115,0.720418058121739,2.27521137021036,1e-10,5.91162790697674e-09,4.20930232558140e-09,868,"tags=38%, list=8%, signal=36%","3853/6373/1673/4283/1670/6318/3627/1671/8542/4069/2919/3122/5788/4843/3383/7305/718/2212/914/2633/201294/7040/3820/5320/3123/3635/5196/563/2635/1604/51561/1776/4818/730/2921/11151/3001/3902/2634/5272/6364/6363/57823/10870","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",52,0.786515517471709,2.27411028496499,1e-10,5.91162790697674e-09,4.20930232558140e-09,1047,"tags=54%, list=9%, signal=49%","4316/5068/6280/3853/6373/1673/5650/6278/4283/1670/3627/5968/1671/2919/6348/5967/6351/6376/1755/11005/5196/2921/6368/6364/6363/10344/2920/6352","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",27,0.881374019294357,2.273433354115,1e-10,5.91162790697674e-09,4.20930232558140e-09,306,"tags=52%, list=3%, signal=51%","3113/3115/3111/3119/3122/3117/972/3112/3109/3127/2207/1510/3108/3123","Up","BP","Enterocytes_CA1_CA2_CA4-","EPI","Colon","ActiveCD_vs_Control","dataset_02"
