"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Goblet cells MUC2 TFF1-",3792,2376,6168,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Enterocytes CA1 CA2 CA4-",3390,2377,5767,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Epithelial Cycling cells",3085,1927,5012,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Stem cells OLFM4 LGR5",2593,1556,4149,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Stem cells OLFM4 PCNA",2266,809,3075,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Enterocytes TMIGD1 MEP1A",1720,1095,2815,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Enterocytes BEST4",2365,248,2613,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Goblet cells MUC2 TFF1",1670,128,1798,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Enteroendocrine cells",1620,74,1694,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Stem cells OLFM4",599,287,886,"02_CO_EPI_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Goblet cells SPINK4",NA,NA,NA,"02_CO_EPI_InactiveCD_vs_Control","Control",15,"InactiveCD",13
"Paneth cells",NA,NA,NA,"02_CO_EPI_InactiveCD_vs_Control","Control",3,"InactiveCD",13
"Tuft cells",NA,NA,NA,"02_CO_EPI_InactiveCD_vs_Control","Control",15,"InactiveCD",16
