"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"T cells CD8",6,62,68,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"IELs ID3 ENTPD1",0,43,43,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",25
"T cells CD4 IL17A",11,16,27,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",25
"T cells CD4 FOSB",2,6,8,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Plasma cells",2,4,6,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26
"T cells CD8 KLRG1",0,6,6,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"DC1",0,4,4,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26
"Cycling cells",1,2,3,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",26
"ILCs",2,1,3,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",25
"Macrophages CCL3 CCL4",1,1,2,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",26
"B cells",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"DC2 CD1D",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"DC2 CD1D-",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26
"Macrophages",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",8,"InactiveCD",26
"Macrophages LYVE1",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"Mast cells",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"Monocytes S100A8 S100A9",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",6,"InactiveCD",26
"NK cells KLRF1 CD3G-",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"T cells Naive CD4",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",25
"T cells OGT",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",10,"InactiveCD",26
"Tregs",0,0,0,"06_TI_IMM_InactiveCD_vs_Control","Control",9,"InactiveCD",26
"Macrophages CXCL9 CXCL10",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",4,"InactiveCD",26
"Macrophages PLA2G2D",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",6,"InactiveCD",24
"Mature DCs",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",26
"Monocytes HBB",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",2,"InactiveCD",12
"Neutrophils S100A8 S100A9",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",0,"InactiveCD",3
"B cells AICDA LRMP",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",7,"InactiveCD",22
"Monocytes CHI3L1 CYP27A1",NA,NA,NA,"06_TI_IMM_InactiveCD_vs_Control","Control",5,"InactiveCD",9
