"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Enterocytes CA1 CA2 CA4-",1883,1476,3359,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Epithelial Cycling cells",1511,1127,2638,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Goblet cells MUC2 TFF1-",1438,1064,2502,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Enterocytes TMIGD1 MEP1A",1035,680,1715,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Stem cells OLFM4 PCNA",763,632,1395,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Stem cells OLFM4 LGR5",657,513,1170,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Enterocytes BEST4",431,127,558,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Goblet cells MUC2 TFF1",247,53,300,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Enteroendocrine cells",251,18,269,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Stem cells OLFM4",135,97,232,"02_CO_EPI_ActiveCD_vs_Control","Control",16,"ActiveCD",5
"Goblet cells SPINK4",NA,NA,NA,"02_CO_EPI_ActiveCD_vs_Control","Control",15,"ActiveCD",4
"Paneth cells",NA,NA,NA,"02_CO_EPI_ActiveCD_vs_Control","Control",3,"ActiveCD",5
"Tuft cells",NA,NA,NA,"02_CO_EPI_ActiveCD_vs_Control","Control",15,"ActiveCD",5
