"dataset","location","cellgroup","cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count","JAK1_padj","JAK1_log2FC","JAK2_padj","JAK2_log2FC","STAT1_padj","STAT1_log2FC","SOCS1_padj","SOCS1_log2FC"
"02_CO_STR","Colon","STR","Fibroblasts ADAMDEC1",5620,1209,6829,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,9.79737650683017e-13,"**1.392**",6.85492082633973e-10,"**2.613**",3.98054415442838e-05,"**1.78**",0.325642432133397,0.398
"02_CO_STR","Colon","STR","Endothelial cells CD36",2663,834,3497,"InactiveCD_vs_Control","Control",16,"InactiveCD",17,4.74756246196295e-05,"**1.137**",0.105014670699752,"1.121",0.213828728310884,"0.742",0.919648829879047,-0.068
"02_CO_STR","Colon","STR","Fibroblasts SMOC2 PTGIS",2499,730,3229,"InactiveCD_vs_Control","Control",16,"InactiveCD",16,4.67928096695459e-08,"**1.338**",0.00154125584652662,"**1.975**",0.0500469741144988,"1.213",0.287909977178571,0.768
"02_CO_STR","Colon","STR","Endothelial cells DARC",1903,355,2258,"InactiveCD_vs_Control","Control",16,"InactiveCD",16,8.05899241871313e-08,"**1.517**",NA,NA,0.00148751113658903,"**1.686**",0.581996806196542,-0.34
"02_CO_STR","Colon","STR","Fibroblasts NPY SLITRK6",1624,315,1939,"InactiveCD_vs_Control","Control",16,"InactiveCD",13,5.14232541572097e-08,"**1.598**",0.00130220705953644,"**2.165**",0.172688959158252,"1.081",0.093985956495304,1.6
"02_CO_STR","Colon","STR","Myofibroblasts HHIP NPNT",1693,243,1936,"InactiveCD_vs_Control","Control",16,"InactiveCD",16,0.00372593166462061,"**1.098**",NA,NA,0.05160700204817,"1.322",0.541361883278813,0.582
"02_CO_STR","Colon","STR","Glial cells",1000,190,1190,"InactiveCD_vs_Control","Control",16,"InactiveCD",15,0.0180009694310834,"**1.099**",NA,NA,0.164444526380668,"0.951",0.636178023237749,-0.36
"02_CO_STR","Colon","STR","Activated fibroblasts CCL19 ADAMADEC1",NA,NA,NA,"InactiveCD_vs_Control","Control",16,"InactiveCD",12,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Endothelial cells LTC4S SEMA3G",NA,NA,NA,"InactiveCD_vs_Control","Control",15,"InactiveCD",14,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Fibroblasts KCNN3 LY6H",NA,NA,NA,"InactiveCD_vs_Control","Control",16,"InactiveCD",14,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Fibroblasts SFRP2 SLPI",NA,NA,NA,"InactiveCD_vs_Control","Control",14,"InactiveCD",12,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Inflammatory fibroblasts IL11 CHI3L1",NA,NA,NA,"InactiveCD_vs_Control","Control",9,"InactiveCD",12,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Lymphatics",NA,NA,NA,"InactiveCD_vs_Control","Control",9,"InactiveCD",14,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Myofibroblasts GREM1 GREM2",NA,NA,NA,"InactiveCD_vs_Control","Control",12,"InactiveCD",12,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Pericytes HIGD1B STEAP4",NA,NA,NA,"InactiveCD_vs_Control","Control",15,"InactiveCD",14,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Pericytes RERGL NTRK2",NA,NA,NA,"InactiveCD_vs_Control","Control",8,"InactiveCD",12,NA,NA,NA,NA,NA,NA,NA,NA
"02_CO_STR","Colon","STR","Stromal Cycling cells",NA,NA,NA,"InactiveCD_vs_Control","Control",8,"InactiveCD",9,NA,NA,NA,NA,NA,NA,NA,NA
