"cell_type","upregulated","downregulated","total_significant","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Fibroblasts ADAMDEC1",5620,1209,6829,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Endothelial cells CD36",2663,834,3497,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Fibroblasts SMOC2 PTGIS",2499,730,3229,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Endothelial cells DARC",1903,355,2258,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Fibroblasts NPY SLITRK6",1624,315,1939,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",13
"Myofibroblasts HHIP NPNT",1693,243,1936,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Glial cells",1000,190,1190,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",15
"Activated fibroblasts CCL19 ADAMADEC1",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",12
"Endothelial cells LTC4S SEMA3G",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",15,"InactiveCD",14
"Fibroblasts KCNN3 LY6H",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",14
"Fibroblasts SFRP2 SLPI",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",14,"InactiveCD",12
"Inflammatory fibroblasts IL11 CHI3L1",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",9,"InactiveCD",12
"Lymphatics",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",9,"InactiveCD",14
"Myofibroblasts GREM1 GREM2",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",12,"InactiveCD",12
"Pericytes HIGD1B STEAP4",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",15,"InactiveCD",14
"Pericytes RERGL NTRK2",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",8,"InactiveCD",12
"Stromal Cycling cells",NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",8,"InactiveCD",9
