"cell_type","upregulated","downregulated","total_significant","JAK1_padj","JAK1_log2FC","JAK2_padj","JAK2_log2FC","STAT1_padj","STAT1_log2FC","SOCS1_padj","SOCS1_log2FC","comparison","condition1","condition1_sample_count","condition2","condition2_sample_count"
"Fibroblasts ADAMDEC1",5620,1209,6829,9.79737650683167e-13,1.39180343129478,6.85492082633994e-10,2.61295886621998,3.98054415442838e-05,1.78037744462355,0.325642432133396,0.397938257445863,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Endothelial cells CD36",2663,834,3497,4.74756246192822e-05,1.13715985967229,0.105014670699551,1.12105472189623,0.213828728310619,0.742110364972224,0.919648829879056,-0.0684167294980915,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",17
"Fibroblasts SMOC2 PTGIS",2499,730,3229,4.67928096756667e-08,1.33778514759493,0.00154125584655068,1.97545548975782,0.050046974114499,1.21254640383718,0.287909977179372,0.768315997827485,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Endothelial cells DARC",1903,355,2258,8.05899241871254e-08,1.51708518721042,NA,NA,0.00148751113658902,1.68557861928668,0.581996806196542,-0.340247351706246,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Fibroblasts NPY SLITRK6",1624,315,1939,5.14232541576103e-08,1.5977732975344,0.00130220705953887,2.1653529494442,0.172688959158251,1.0806152237474,0.0939859564954022,1.59966622700347,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",13
"Myofibroblasts HHIP NPNT",1693,243,1936,0.00372593166453891,1.09792936750418,NA,NA,0.0516070020483978,1.32155660876891,0.541361883275469,0.582227662257144,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",16
"Glial cells",1000,190,1190,0.018000969431846,1.09884448230705,NA,NA,0.164444526382427,0.950531129054368,0.636178023237672,-0.360330860604962,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",15
"Activated fibroblasts CCL19 ADAMADEC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",12
"Endothelial cells LTC4S SEMA3G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",15,"InactiveCD",14
"Fibroblasts KCNN3 LY6H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",16,"InactiveCD",14
"Fibroblasts SFRP2 SLPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",14,"InactiveCD",12
"Inflammatory fibroblasts IL11 CHI3L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",9,"InactiveCD",12
"Lymphatics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",9,"InactiveCD",14
"Myofibroblasts GREM1 GREM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",12,"InactiveCD",12
"Pericytes HIGD1B STEAP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",15,"InactiveCD",14
"Pericytes RERGL NTRK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",8,"InactiveCD",12
"Stromal Cycling cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04_CO_STR_InactiveCD_vs_Control","Control",8,"InactiveCD",9
